,States,Coure_Outcome ,Measure ,YEAR_2011,YEAR_2012,YEAR_2013,YEAR_2014,YEAR_2015,YEAR_2016,YEAR_2017,YEAR_2018,YEAR_2019,YEAR_2020
262,Hawaii,Traffic Fatalities,Urban,58.0,69.0,62.0,65.0,80.0,94.0,82.0,91.0,86.0,76.0
263,Hawaii,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
286,Idaho,Traffic Fatalities,Total (C-1),167.0,184.0,214.0,186.0,216.0,253.0,245.0,234.0,224.0,214.0
287,Idaho,Traffic Fatalities,Rural,136.0,152.0,175.0,151.0,178.0,194.0,183.0,170.0,169.0,167.0
288,Idaho,Traffic Fatalities,Urban,31.0,32.0,39.0,35.0,38.0,47.0,62.0,64.0,54.0,47.0
289,Idaho,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0
312,Illinois,Traffic Fatalities,Total (C-1),918.0,956.0,991.0,924.0,998.0,1078.0,1090.0,1035.0,1009.0,1194.0
313,Illinois,Traffic Fatalities,Rural,398.0,395.0,411.0,417.0,419.0,437.0,399.0,386.0,357.0,355.0
314,Illinois,Traffic Fatalities,Urban,520.0,561.0,580.0,506.0,579.0,639.0,688.0,649.0,646.0,812.0
315,Illinois,Traffic Fatalities,Unknown,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,6.0,27.0
338,Indiana,Traffic Fatalities,Total (C-1),751.0,781.0,784.0,745.0,817.0,829.0,916.0,860.0,810.0,897.0
339,Indiana,Traffic Fatalities,Rural,477.0,524.0,535.0,472.0,521.0,543.0,558.0,525.0,492.0,524.0
340,Indiana,Traffic Fatalities,Urban,274.0,257.0,249.0,273.0,296.0,285.0,356.0,334.0,315.0,373.0
341,Indiana,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0
364,Iowa,Traffic Fatalities,Total (C-1),360.0,365.0,317.0,322.0,320.0,402.0,330.0,319.0,336.0,337.0
365,Iowa,Traffic Fatalities,Rural,300.0,286.0,256.0,255.0,230.0,306.0,254.0,255.0,244.0,239.0
366,Iowa,Traffic Fatalities,Urban,60.0,79.0,61.0,67.0,90.0,96.0,76.0,64.0,92.0,98.0
367,Iowa,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,Kansas,Traffic Fatalities,Total (C-1),386.0,405.0,350.0,385.0,355.0,429.0,461.0,405.0,410.0,426.0
391,Kansas,Traffic Fatalities,Rural,314.0,326.0,271.0,298.0,276.0,322.0,313.0,252.0,258.0,262.0
392,Kansas,Traffic Fatalities,Urban,72.0,79.0,79.0,87.0,79.0,105.0,147.0,150.0,151.0,164.0
393,Kansas,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0
416,Kentucky,Traffic Fatalities,Total (C-1),720.0,746.0,638.0,672.0,761.0,834.0,782.0,724.0,732.0,780.0
417,Kentucky,Traffic Fatalities,Rural,559.0,582.0,494.0,517.0,593.0,607.0,510.0,515.0,503.0,501.0
418,Kentucky,Traffic Fatalities,Urban,161.0,164.0,144.0,155.0,168.0,226.0,271.0,208.0,229.0,279.0
419,Kentucky,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
442,Louisiana,Traffic Fatalities,Total (C-1),680.0,723.0,703.0,740.0,752.0,757.0,770.0,771.0,727.0,828.0
443,Louisiana,Traffic Fatalities,Rural,348.0,345.0,342.0,389.0,368.0,368.0,374.0,305.0,375.0,383.0
444,Louisiana,Traffic Fatalities,Urban,332.0,378.0,361.0,351.0,377.0,385.0,395.0,466.0,352.0,443.0
445,Louisiana,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,2.0
468,Maine,Traffic Fatalities,Total (C-1),136.0,164.0,144.0,131.0,156.0,160.0,173.0,136.0,157.0,164.0
469,Maine,Traffic Fatalities,Rural,135.0,164.0,140.0,118.0,130.0,129.0,136.0,116.0,126.0,131.0
470,Maine,Traffic Fatalities,Urban,1.0,0.0,4.0,13.0,26.0,28.0,36.0,20.0,31.0,32.0
471,Maine,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0
494,Maryland,Traffic Fatalities,Total (C-1),485.0,511.0,465.0,442.0,520.0,522.0,558.0,512.0,535.0,567.0
495,Maryland,Traffic Fatalities,Rural,170.0,180.0,167.0,149.0,125.0,108.0,127.0,90.0,115.0,87.0
496,Maryland,Traffic Fatalities,Urban,311.0,325.0,295.0,293.0,378.0,408.0,423.0,414.0,412.0,478.0
497,Maryland,Traffic Fatalities,Unknown,4.0,6.0,3.0,0.0,17.0,6.0,8.0,8.0,8.0,2.0
520,Massachusetts,Traffic Fatalities,Total (C-1),374.0,383.0,351.0,354.0,344.0,387.0,347.0,355.0,336.0,343.0
521,Massachusetts,Traffic Fatalities,Rural,44.0,50.0,50.0,37.0,22.0,17.0,22.0,34.0,25.0,28.0
522,Massachusetts,Traffic Fatalities,Urban,330.0,333.0,300.0,317.0,321.0,370.0,325.0,320.0,311.0,315.0
523,Massachusetts,Traffic Fatalities,Unknown,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
546,Michigan,Traffic Fatalities,Total (C-1),889.0,940.0,947.0,901.0,967.0,1065.0,1031.0,977.0,986.0,1084.0
547,Michigan,Traffic Fatalities,Rural,396.0,424.0,429.0,378.0,534.0,424.0,402.0,410.0,401.0,430.0
548,Michigan,Traffic Fatalities,Urban,493.0,511.0,516.0,522.0,428.0,635.0,625.0,566.0,579.0,651.0
549,Michigan,Traffic Fatalities,Unknown,0.0,5.0,2.0,1.0,5.0,6.0,4.0,1.0,6.0,3.0
572,Minnesota,Traffic Fatalities,Total (C-1),368.0,395.0,387.0,361.0,411.0,392.0,358.0,381.0,364.0,394.0
573,Minnesota,Traffic Fatalities,Rural,247.0,269.0,256.0,262.0,274.0,232.0,209.0,218.0,213.0,240.0
574,Minnesota,Traffic Fatalities,Urban,121.0,126.0,131.0,99.0,135.0,159.0,148.0,160.0,150.0,153.0
575,Minnesota,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0
598,Mississippi,Traffic Fatalities,Total (C-1),630.0,582.0,613.0,607.0,677.0,687.0,685.0,663.0,642.0,752.0
599,Mississippi,Traffic Fatalities,Rural,508.0,407.0,519.0,551.0,559.0,533.0,428.0,440.0,450.0,515.0
600,Mississippi,Traffic Fatalities,Urban,122.0,175.0,94.0,56.0,118.0,154.0,256.0,223.0,192.0,237.0
601,Mississippi,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
624,Missouri,Traffic Fatalities,Total (C-1),786.0,826.0,757.0,766.0,870.0,947.0,932.0,921.0,881.0,987.0
625,Missouri,Traffic Fatalities,Rural,495.0,474.0,459.0,471.0,497.0,553.0,467.0,512.0,463.0,493.0
626,Missouri,Traffic Fatalities,Urban,291.0,350.0,298.0,295.0,372.0,394.0,465.0,409.0,418.0,494.0
627,Missouri,Traffic Fatalities,Unknown,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
650,Montana,Traffic Fatalities,Total (C-1),209.0,205.0,229.0,192.0,224.0,190.0,186.0,181.0,184.0,213.0
651,Montana,Traffic Fatalities,Rural,179.0,191.0,224.0,178.0,200.0,170.0,167.0,153.0,159.0,190.0
652,Montana,Traffic Fatalities,Urban,29.0,14.0,5.0,14.0,24.0,19.0,19.0,28.0,25.0,22.0
653,Montana,Traffic Fatalities,Unknown,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
676,Nebraska,Traffic Fatalities,Total (C-1),181.0,212.0,211.0,225.0,246.0,218.0,228.0,230.0,248.0,233.0
677,Nebraska,Traffic Fatalities,Rural,138.0,161.0,170.0,177.0,173.0,166.0,159.0,171.0,178.0,165.0
678,Nebraska,Traffic Fatalities,Urban,43.0,51.0,41.0,48.0,73.0,52.0,69.0,59.0,70.0,68.0
679,Nebraska,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,Nevada,Traffic Fatalities,Total (C-1),246.0,261.0,266.0,291.0,326.0,329.0,311.0,329.0,304.0,317.0
703,Nevada,Traffic Fatalities,Rural,108.0,77.0,82.0,91.0,108.0,104.0,81.0,89.0,111.0,93.0
704,Nevada,Traffic Fatalities,Urban,137.0,184.0,184.0,200.0,214.0,222.0,226.0,238.0,191.0,224.0
705,Nevada,Traffic Fatalities,Unknown,1.0,0.0,0.0,0.0,4.0,3.0,4.0,2.0,2.0,0.0
728,New Hampshire,Traffic Fatalities,Total (C-1),90.0,108.0,135.0,95.0,114.0,136.0,102.0,147.0,101.0,104.0
729,New Hampshire,Traffic Fatalities,Rural,64.0,60.0,87.0,48.0,66.0,75.0,51.0,78.0,58.0,59.0
730,New Hampshire,Traffic Fatalities,Urban,26.0,48.0,48.0,47.0,48.0,61.0,51.0,69.0,42.0,43.0
731,New Hampshire,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
754,New Jersey,Traffic Fatalities,Total (C-1),627.0,589.0,542.0,556.0,561.0,602.0,624.0,563.0,558.0,584.0
755,New Jersey,Traffic Fatalities,Rural,89.0,71.0,79.0,78.0,67.0,86.0,83.0,45.0,63.0,54.0
756,New Jersey,Traffic Fatalities,Urban,537.0,516.0,463.0,475.0,490.0,512.0,536.0,508.0,488.0,518.0
757,New Jersey,Traffic Fatalities,Unknown,1.0,2.0,0.0,3.0,4.0,4.0,5.0,10.0,7.0,12.0
780,New Mexico,Traffic Fatalities,Total (C-1),350.0,366.0,311.0,386.0,298.0,405.0,380.0,392.0,425.0,398.0
781,New Mexico,Traffic Fatalities,Rural,273.0,259.0,215.0,248.0,176.0,229.0,195.0,232.0,241.0,211.0
782,New Mexico,Traffic Fatalities,Urban,77.0,106.0,96.0,133.0,119.0,172.0,180.0,158.0,184.0,184.0
783,New Mexico,Traffic Fatalities,Unknown,0.0,1.0,0.0,5.0,3.0,4.0,5.0,2.0,0.0,3.0
806,New York,Traffic Fatalities,Total (C-1),1171.0,1180.0,1202.0,1041.0,1136.0,1041.0,1006.0,964.0,934.0,1046.0
807,New York,Traffic Fatalities,Rural,534.0,618.0,630.0,390.0,455.0,463.0,474.0,287.0,255.0,287.0
808,New York,Traffic Fatalities,Urban,637.0,562.0,572.0,651.0,681.0,578.0,532.0,677.0,678.0,759.0
809,New York,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
832,North Carolina,Traffic Fatalities,Total (C-1),1230.0,1299.0,1290.0,1284.0,1379.0,1450.0,1412.0,1436.0,1457.0,1538.0
833,North Carolina,Traffic Fatalities,Rural,835.0,901.0,861.0,896.0,910.0,902.0,873.0,692.0,799.0,819.0
834,North Carolina,Traffic Fatalities,Urban,394.0,398.0,426.0,388.0,468.0,543.0,539.0,742.0,655.0,713.0
835,North Carolina,Traffic Fatalities,Unknown,1.0,0.0,3.0,0.0,1.0,5.0,0.0,2.0,3.0,6.0
